info: () => {
  return format(new Date(), "yyyy-MM-dd HH:mm:ss:SSS");
} | 36ca5a40-b854-462c-b84f-a74ee0ac01dc | studentsController | getStudent | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:53:517 | 78694fa7-be73-496f-8c7a-08cebbd2b36a | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:53:518 | 78694fa7-be73-496f-8c7a-08cebbd2b36a | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:53:525 | 78694fa7-be73-496f-8c7a-08cebbd2b36a | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:53:566 | 78694fa7-be73-496f-8c7a-08cebbd2b36a | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:093 | 63b3cbfb-d81c-4a37-a4ac-f59a5c28dc5a | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:095 | 63b3cbfb-d81c-4a37-a4ac-f59a5c28dc5a | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:095 | 63b3cbfb-d81c-4a37-a4ac-f59a5c28dc5a | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:101 | 63b3cbfb-d81c-4a37-a4ac-f59a5c28dc5a | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:130 | 63b3cbfb-d81c-4a37-a4ac-f59a5c28dc5a | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:614 | bd932630-4a88-471d-abf0-38dca90090f6 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:616 | bd932630-4a88-471d-abf0-38dca90090f6 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:616 | bd932630-4a88-471d-abf0-38dca90090f6 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:621 | bd932630-4a88-471d-abf0-38dca90090f6 | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:54:650 | bd932630-4a88-471d-abf0-38dca90090f6 | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:31:57:600 | 10de101b-a203-4221-a5d6-fb10445772d4 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:57:602 | 10de101b-a203-4221-a5d6-fb10445772d4 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:57:603 | 10de101b-a203-4221-a5d6-fb10445772d4 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:57:607 | 10de101b-a203-4221-a5d6-fb10445772d4 | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:57:638 | 10de101b-a203-4221-a5d6-fb10445772d4 | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:204 | 91432a9c-856a-4cc2-88b0-dd6621c56b0b | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:206 | 91432a9c-856a-4cc2-88b0-dd6621c56b0b | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:206 | 91432a9c-856a-4cc2-88b0-dd6621c56b0b | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
