2024-03-10 08:23:55:491 | 12a38aab-fbbb-46c1-8385-772785733dee | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 5898.007 ms | 157
2024-03-10 08:24:04:739 | 26a65e95-2807-4a67-8584-d23adc5d8e43 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 67.723 ms | 157
2024-03-10 08:28:43:625 | 565ac004-bab1-4e3a-a398-f824a8d0d23d | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 106.660 ms | 157
2024-03-10 08:28:55:713 | 57bfef5c-82b2-4cf2-a13c-77a4a32566b9 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 82.658 ms | 157
2024-03-10 08:29:21:545 | b7b1da67-fbbe-448e-afc4-86ef62cd5c74 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 82.240 ms | 157
2024-03-10 08:29:30:874 | abf360be-7f47-4c53-b1d8-fc1d63fc71dd | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 63.774 ms | 157
2024-03-10 08:29:31:945 | d78f9b91-2f60-47c1-b9fe-60c2c69d356f | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 50.959 ms | 157
2024-03-10 08:29:32:677 | 7c6e867d-baf5-42d1-8fa7-64d748fe7de1 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 50.552 ms | 157
2024-03-10 08:29:33:261 | 4af7eece-93a1-4b44-90a0-11c1c16d3c09 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 42.086 ms | 157
2024-03-10 08:29:33:845 | b4c55fbe-5568-4e6e-b6cd-fa073dc3667f | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 41.328 ms | 157
2024-03-10 08:29:34:462 | 4dc12438-5d74-45ff-85ac-8a81df555d10 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 75.760 ms | 157
2024-03-10 08:29:35:118 | b3bd86d6-3cf5-4c0b-989e-4870a7d6bfac | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 42.022 ms | 157
2024-03-10 08:29:36:441 | fea8ebfc-5ebe-4670-978d-8685a590fad0 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 40.956 ms | 157
2024-03-10 08:29:38:769 | d108972e-de8a-4e7e-bb93-b06ece244b87 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 40.554 ms | 157
2024-03-10 08:29:57:047 | a4149dbb-249b-4f52-98e9-e43cf836940f | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 2244.021 ms | 157
2024-03-10 08:30:03:597 | b0b5a6ff-c3a2-4d14-adc0-39f33bc7eaad | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 2123.649 ms | 157
2024-03-10 08:31:44:661 | 8d6e2b55-6c2c-4832-bbdc-696cfa662578 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 66.702 ms | 157
